"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"108",2019,13,13,"Christian Wilkins","Dolphins","DT","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"109",2019,14,14,"Chris Lindstrom","Falcons","G","Boston College","Boston College","http://a.espncdn.com/i/teamlogos/ncaa/500/103.png"
"110",2019,15,15,"Dwayne Haskins","Redskins","QB","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"111",2019,16,16,"Brian Burns","Panthers","LB","Florida State","Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png"
"112",2019,17,17,"Dexter Lawrence","Giants","DT","Clemson","Clemson","http://a.espncdn.com/i/teamlogos/ncaa/500/228.png"
"113",2019,18,18,"Garrett Bradbury","Vikings","C","North Carolina State","NC State","http://a.espncdn.com/i/teamlogos/ncaa/500/152.png"
"114",2019,19,19,"Jeffery Simmons","Titans","DT","Mississippi State","Mississippi State","http://a.espncdn.com/i/teamlogos/ncaa/500/344.png"
"115",2019,20,20,"Noah Fant","Broncos","TE","Iowa","Iowa","http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png"
"116",2019,21,21,"Darnell Savage","Packers","DB","Maryland","Maryland","http://a.espncdn.com/i/teamlogos/ncaa/500/120.png"
"117",2019,22,22,"Andre Dillard","Eagles","T","Washington State","Washington State","http://a.espncdn.com/i/teamlogos/ncaa/500/265.png"
"118",2019,23,23,"Tytus Howard","Texans","T","Alabama State","Alabama State","http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png"
